crop_year,crop_year_start,month,month_order,price_kind,market_level,product_type,unit,price,source_period,source_file
2011-2012,2011,April,8,monthly_average,wholesale,refined_sugar,PHP/LKg,2060.94,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,April,8,monthly_average,wholesale,washed_sugar,PHP/LKg,1727.05,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,May,9,monthly_average,retail_wet_market,raw_sugar,PHP/kg,38.99,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,May,9,monthly_average,retail_wet_market,refined_sugar,PHP/kg,46.34,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,May,9,monthly_average,retail_wet_market,washed_sugar,PHP/kg,41.22,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,May,9,monthly_average,wholesale,raw_sugar,PHP/LKg,1621.96,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,May,9,monthly_average,wholesale,refined_sugar,PHP/LKg,2062.77,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,May,9,monthly_average,wholesale,washed_sugar,PHP/LKg,1764.69,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,June,10,monthly_average,retail_wet_market,raw_sugar,PHP/kg,39.84,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,June,10,monthly_average,retail_wet_market,refined_sugar,PHP/kg,47.44,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,June,10,monthly_average,retail_wet_market,washed_sugar,PHP/kg,42.32,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,June,10,monthly_average,wholesale,raw_sugar,PHP/LKg,1785.24,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,June,10,monthly_average,wholesale,refined_sugar,PHP/LKg,2258.54,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,June,10,monthly_average,wholesale,washed_sugar,PHP/LKg,1895.69,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,July,11,monthly_average,retail_wet_market,raw_sugar,PHP/kg,42.86,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,July,11,monthly_average,retail_wet_market,refined_sugar,PHP/kg,50.82,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,July,11,monthly_average,retail_wet_market,washed_sugar,PHP/kg,45.3,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,July,11,monthly_average,wholesale,raw_sugar,PHP/LKg,1787.57,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,July,11,monthly_average,wholesale,refined_sugar,PHP/LKg,2286.51,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,July,11,monthly_average,wholesale,washed_sugar,PHP/LKg,1937.64,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,August,12,monthly_average,retail_wet_market,raw_sugar,PHP/kg,43.3,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,August,12,monthly_average,retail_wet_market,refined_sugar,PHP/kg,51.49,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,August,12,monthly_average,retail_wet_market,washed_sugar,PHP/kg,45.82,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,August,12,monthly_average,wholesale,raw_sugar,PHP/LKg,1782.11,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,August,12,monthly_average,wholesale,refined_sugar,PHP/LKg,2291.37,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,August,12,monthly_average,wholesale,washed_sugar,PHP/LKg,1928.06,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,September,1,monthly_average,retail_wet_market,raw_sugar,PHP/kg,42.33,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,monthly_average,retail_wet_market,refined_sugar,PHP/kg,50.11,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,monthly_average,retail_wet_market,washed_sugar,PHP/kg,44.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,monthly_average,wholesale,raw_sugar,PHP/LKg,1755.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,monthly_average,wholesale,refined_sugar,PHP/LKg,2237.83,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,September,1,monthly_average,wholesale,washed_sugar,PHP/LKg,1899.79,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,monthly_average,retail_wet_market,raw_sugar,PHP/kg,42.09,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,monthly_average,retail_wet_market,refined_sugar,PHP/kg,50.55,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,monthly_average,retail_wet_market,washed_sugar,PHP/kg,44.63,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,monthly_average,wholesale,raw_sugar,PHP/LKg,1674.54,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,monthly_average,wholesale,refined_sugar,PHP/LKg,2070.79,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,October,2,monthly_average,wholesale,washed_sugar,PHP/LKg,1820.63,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,monthly_average,retail_wet_market,raw_sugar,PHP/kg,42.67,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,monthly_average,retail_wet_market,refined_sugar,PHP/kg,49.95,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,monthly_average,retail_wet_market,washed_sugar,PHP/kg,45.06,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,monthly_average,wholesale,raw_sugar,PHP/LKg,1501.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,monthly_average,wholesale,refined_sugar,PHP/LKg,1972.29,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,November,3,monthly_average,wholesale,washed_sugar,PHP/LKg,1645.56,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,monthly_average,retail_wet_market,raw_sugar,PHP/kg,42.18,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,monthly_average,retail_wet_market,refined_sugar,PHP/kg,49.38,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,monthly_average,retail_wet_market,washed_sugar,PHP/kg,44.56,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,2012,December,4,monthly_average,wholesale,raw_sugar,PHP/LKg,1439.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
