crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,raw_value,survey_status,price,include_in_analysis,source_period,source_file
2012-2013,2012,July,11,"""D"" World Market","""D""",raw_sugar,PHP/LKg,"1,100.00",reported,1100.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,July,11,Composite Price,,raw_sugar,PHP/LKg,"1,526.00",reported,1526.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,July,11,Molasses,,molasses,PHP/MT,"6,321.67",reported,6321.67,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,August,12,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,185.00",reported,1185.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,August,12,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,678.75",reported,1678.75,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,August,12,"""D"" World Market","""D""",raw_sugar,PHP/LKg,"1,085.00",reported,1085.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,August,12,Composite Price,,raw_sugar,PHP/LKg,"1,520.50",reported,1520.5,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,August,12,Molasses,,molasses,PHP/MT,"6,255.00",reported,6255.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2013-2014,2013,September,1,"""A"" Export","""A""",raw_sugar,PHP/LKg,706.67,reported,706.67,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,September,1,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,462.33",reported,1462.33,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,September,1,"""D"" World Market","""D""",raw_sugar,PHP/LKg,738.92,reported,738.92,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,September,1,Composite Price,,raw_sugar,PHP/LKg,"1,360.41",reported,1360.41,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,September,1,Molasses,,molasses,PHP/MT,"5,659.77",reported,5659.77,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,"""A"" Export","""A""",raw_sugar,PHP/LKg,784.19,reported,784.19,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,434.30",reported,1434.3,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,"""D"" World Market","""D""",raw_sugar,PHP/LKg,829.25,reported,829.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,Composite Price,,raw_sugar,PHP/LKg,"1,348.69",reported,1348.69,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,October,2,Molasses,,molasses,PHP/MT,"6,040.82",reported,6040.82,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,"""A"" Export","""A""",raw_sugar,PHP/LKg,771.00,reported,771.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,465.37",reported,1465.37,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,"""D"" World Market","""D""",raw_sugar,PHP/LKg,814.58,reported,814.58,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,Composite Price,,raw_sugar,PHP/LKg,"1,373.39",reported,1373.39,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,November,3,Molasses,,molasses,PHP/MT,"6,349.94",reported,6349.94,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,"""A"" Export","""A""",raw_sugar,PHP/LKg,742.77,reported,742.77,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1,430.07",reported,1430.07,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,"""D"" World Market","""D""",raw_sugar,PHP/LKg,777.07,reported,777.07,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,Composite Price,,raw_sugar,PHP/LKg,"1,337.96",reported,1337.96,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,December,4,Molasses,,molasses,PHP/MT,"6,084.58",reported,6084.58,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_02_lattice.csv
2013-2014,2013,January,5,"""A"" Export","""A""",raw_sugar,PHP/LKg,792.09,reported,792.09,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,January,5,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,336.53",reported,1336.53,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
