crop_year,month,month_order,product_type,sugar_class,metric,unit,value,source_period,source_file
2019-2020,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,145179.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,158000.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,191729.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,212961.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,June,10,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,190784.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,176576.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,123994.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,169047.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,201961.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,July,11,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,210836.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,209093.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,114871.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,132781.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,147681.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,August,12,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,111670.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2024-2025,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,62057.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,68570.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,85082.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,80869.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,September,1,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,80268.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,118830.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,138442.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,163806.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,159842.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,October,2,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,118397.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,107893.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,110378.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,156666.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,155857.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,November,3,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,170797.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,December,4,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,185084.0,2020-2025,data\extracted\raw_domestic_withdrawals\2020-2025\table_01_lattice.csv
