crop_year,month,month_order,price_kind,market_level,product_type,unit,value_position,price,source_period,source_file
2012-2013,November,3,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1501.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,November,3,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1645.56,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,November,3,monthly_average,wholesale,refined_sugar,PHP/LKg,3,1972.29,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,November,3,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,42.67,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,November,3,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,45.06,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,November,3,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,49.95,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,December,4,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1439.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,December,4,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1540.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,December,4,monthly_average,wholesale,refined_sugar,PHP/LKg,3,1899.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,December,4,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,42.18,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,December,4,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,44.56,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,December,4,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,49.38,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
